2024-02-27T01:03:21.431Z	AP_MainContext.cpp(69)	INFO	automationProxyWorker	Destructor
2024-02-27T01:03:21.431Z	APC_AutomationSystemProxy.cpp(181)	INFO	Scte30Proxy	stop server thread
2024-02-27T01:03:21.432Z	APC_AutomationSystemProxy.cpp(186)	INFO	Scte30Proxy	ServerThread joined
2024-02-27T01:03:21.432Z	APC_AutomationSystemProxy.cpp(181)	INFO	Scte104Proxy	stop server thread
2024-02-27T01:03:21.433Z	APC_AutomationSystemProxy.cpp(186)	INFO	Scte104Proxy	ServerThread joined
2024-02-27T01:03:21.434Z	UT_LegacyLogImpl.cpp(313)	INFO		stopping the log system
2024-02-27T01:06:16.793Z	main.cpp(293)	INFO	*** External automation Proxy *** 	**********************************************************
2024-02-27T01:06:16.795Z	main.cpp(294)	INFO	*** External automation Proxy *** 	Log system is legacy
2024-02-27T01:06:16.795Z	AP_MainContext.cpp(63)	INFO	automationProxyWorker	Constructor
2024-02-27T01:06:16.810Z	AP_ServiceDiscoveryHandler.cpp(155)	ERROR	Scte104ProxyServiceDiscovery	curl_easy_perform() failed, url=http://localhost:8200/api/discoveries res=Couldn't connect to server
2024-02-27T01:06:16.810Z	AP_ServiceDiscoveryHandler.cpp(107)	ERROR	Scte104ProxyServiceDiscovery	getServicesInfo() failed
2024-02-27T01:06:16.814Z	AP_ServiceDiscoveryHandler.cpp(155)	ERROR	Scte30ProxyServiceDiscovery	curl_easy_perform() failed, url=http://localhost:8200/api/discoveries res=Couldn't connect to server
2024-02-27T01:06:16.814Z	AP_ServiceDiscoveryHandler.cpp(107)	ERROR	Scte30ProxyServiceDiscovery	getServicesInfo() failed
2024-02-27T01:06:17.822Z	AP_ServiceDiscoveryHandler.cpp(155)	ERROR	Scte104ProxyServiceDiscovery	curl_easy_perform() failed, url=http://localhost:8200/api/discoveries res=Couldn't connect to server
2024-02-27T01:06:17.822Z	AP_ServiceDiscoveryHandler.cpp(107)	ERROR	Scte104ProxyServiceDiscovery	getServicesInfo() failed
2024-02-27T01:06:17.822Z	AP_ServiceDiscoveryHandler.cpp(155)	ERROR	Scte30ProxyServiceDiscovery	curl_easy_perform() failed, url=http://localhost:8200/api/discoveries res=Couldn't connect to server
2024-02-27T01:06:17.822Z	AP_ServiceDiscoveryHandler.cpp(107)	ERROR	Scte30ProxyServiceDiscovery	getServicesInfo() failed
2024-02-27T01:06:18.829Z	AP_ServiceDiscoveryHandler.cpp(155)	ERROR	Scte104ProxyServiceDiscovery	curl_easy_perform() failed, url=http://localhost:8200/api/discoveries res=Couldn't connect to server
2024-02-27T01:06:18.830Z	AP_ServiceDiscoveryHandler.cpp(107)	ERROR	Scte104ProxyServiceDiscovery	getServicesInfo() failed
2024-02-27T01:06:18.830Z	AP_ServiceDiscoveryHandler.cpp(155)	ERROR	Scte30ProxyServiceDiscovery	curl_easy_perform() failed, url=http://localhost:8200/api/discoveries res=Couldn't connect to server
2024-02-27T01:06:18.830Z	AP_ServiceDiscoveryHandler.cpp(107)	ERROR	Scte30ProxyServiceDiscovery	getServicesInfo() failed
2024-02-27T01:06:19.838Z	AP_ServiceDiscoveryHandler.cpp(155)	ERROR	Scte104ProxyServiceDiscovery	curl_easy_perform() failed, url=http://localhost:8200/api/discoveries res=Couldn't connect to server
2024-02-27T01:06:19.838Z	AP_ServiceDiscoveryHandler.cpp(107)	ERROR	Scte104ProxyServiceDiscovery	getServicesInfo() failed
2024-02-27T01:06:19.838Z	AP_ServiceDiscoveryHandler.cpp(155)	ERROR	Scte30ProxyServiceDiscovery	curl_easy_perform() failed, url=http://localhost:8200/api/discoveries res=Couldn't connect to server
2024-02-27T01:06:19.838Z	AP_ServiceDiscoveryHandler.cpp(107)	ERROR	Scte30ProxyServiceDiscovery	getServicesInfo() failed
