2022-05-13 11:41:16,624 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_CONFIG instead...
2022-05-13 11:41:16,624 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_LICENSE_FILE
2022-05-13 11:41:16,624 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_LICENSE_FILE instead...
2022-05-13 11:41:16,624 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_LIVENESS_CHECK
2022-05-13 11:41:16,624 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_LIVENESS_CHECK instead...
2022-05-13 11:41:16,624 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_LOCK_CODE_CONFIDENCE_THRESHOLD
2022-05-13 11:41:16,624 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_LOCK_CODE_CONFIDENCE_THRESHOLD instead...
2022-05-13 11:41:16,624 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_NAME
2022-05-13 11:41:16,624 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_NAME instead...
2022-05-13 11:41:16,625 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_PORT
2022-05-13 11:41:16,625 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_PORT instead...
2022-05-13 11:41:16,625 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_SELECTED_INTERFACE
2022-05-13 11:41:16,625 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_SELECTED_INTERFACE instead...
2022-05-13 11:41:16,625 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_STARTUP_MONITORING_TIMEOUT
2022-05-13 11:41:16,625 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_STARTUP_MONITORING_TIMEOUT instead...
2022-05-13 11:41:16,625 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_SERVER_HOST
2022-05-13 11:41:16,625 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_SERVER_HOST instead...
2022-05-13 11:41:16,625 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_SERVER_PORT
2022-05-13 11:41:16,625 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_SERVER_PORT instead...
2022-05-13 11:41:16,625 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_HOST
2022-05-13 11:41:16,625 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_HOST instead...
2022-05-13 11:41:16,625 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_NAME
2022-05-13 11:41:16,625 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_NAME instead...
2022-05-13 11:41:16,625 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_PASSWORD
2022-05-13 11:41:16,625 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_PASSWORD instead...
2022-05-13 11:41:16,625 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_PORT
2022-05-13 11:41:16,625 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_PORT instead...
2022-05-13 11:41:16,625 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_URL
2022-05-13 11:41:16,626 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_URL instead...
2022-05-13 11:41:16,626 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_USERNAME
2022-05-13 11:41:16,626 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_USERNAME instead...
2022-05-13 11:41:16,626 | ini_setup | INFO     | configure /opt/ericsson/license-manager/etc/license-manager.ini from /opt/ericsson/license-manager/etc/license-manager.ini
2022-05-13 11:41:16,626 | ini_setup | INFO     | [general]identifier=standalone
2022-05-13 11:41:16,626 | ini_setup | INFO     | [license_api]active=True
2022-05-13 11:41:16,626 | ini_setup | INFO     | [license_server]config=/opt/ericsson/license-manager/etc/lsreserv
2022-05-13 11:41:16,626 | ini_setup | INFO     | [license_server]license_file=/opt/ericsson/license-manager/licenses/nlservrc
2022-05-13 11:41:16,626 | ini_setup | INFO     | [license_server]liveness_check=True
2022-05-13 11:41:16,626 | ini_setup | INFO     | [license_server]lock_code_confidence_threshold=5
2022-05-13 11:41:16,626 | ini_setup | INFO     | [license_server]name=127.0.0.1
2022-05-13 11:41:16,626 | ini_setup | INFO     | [license_server]port=5093
2022-05-13 11:41:16,626 | ini_setup | INFO     | [license_server]selected_interface=
2022-05-13 11:41:16,626 | ini_setup | INFO     | [license_server]startup_monitoring_timeout=30
2022-05-13 11:41:16,627 | ini_setup | INFO     | [server]host=127.0.0.1
2022-05-13 11:41:16,627 | ini_setup | INFO     | [server]port=8097
2022-05-13 11:41:16,627 | ini_setup | INFO     | [storage]host=localhost
2022-05-13 11:41:16,627 | ini_setup | INFO     | [storage]name=envivioCluster
2022-05-13 11:41:16,627 | ini_setup | INFO     | [storage]port=27017
2022-05-13 11:41:16,627 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-05-13 11:41:16,627 | ini_setup | INFO     | return code 0
2022-05-13 11:41:16,627 | ini_setup | INFO     | ---
2022-07-12 18:57:38,719 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_GENERAL_IDENTIFIER
2022-07-12 18:57:38,719 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_GENERAL_IDENTIFIER instead...
2022-07-12 18:57:38,719 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_API_ACTIVE
2022-07-12 18:57:38,719 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_API_ACTIVE instead...
2022-07-12 18:57:38,719 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_CONFIG
2022-07-12 18:57:38,719 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_CONFIG instead...
2022-07-12 18:57:38,720 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_LICENSE_FILE
2022-07-12 18:57:38,720 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_LICENSE_FILE instead...
2022-07-12 18:57:38,720 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_LIVENESS_CHECK
2022-07-12 18:57:38,720 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_LIVENESS_CHECK instead...
2022-07-12 18:57:38,720 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_LOCK_CODE_CONFIDENCE_THRESHOLD
2022-07-12 18:57:38,720 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_LOCK_CODE_CONFIDENCE_THRESHOLD instead...
2022-07-12 18:57:38,720 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_NAME
2022-07-12 18:57:38,720 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_NAME instead...
2022-07-12 18:57:38,720 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_PORT
2022-07-12 18:57:38,720 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_PORT instead...
2022-07-12 18:57:38,720 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_SELECTED_INTERFACE
2022-07-12 18:57:38,720 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_SELECTED_INTERFACE instead...
2022-07-12 18:57:38,720 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_STARTUP_MONITORING_TIMEOUT
2022-07-12 18:57:38,720 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_STARTUP_MONITORING_TIMEOUT instead...
2022-07-12 18:57:38,720 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_SERVER_HOST
2022-07-12 18:57:38,720 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_SERVER_HOST instead...
2022-07-12 18:57:38,720 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_SERVER_PORT
2022-07-12 18:57:38,720 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_SERVER_PORT instead...
2022-07-12 18:57:38,721 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_HOST
2022-07-12 18:57:38,721 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_HOST instead...
2022-07-12 18:57:38,721 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_NAME
2022-07-12 18:57:38,721 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_NAME instead...
2022-07-12 18:57:38,721 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_PASSWORD
2022-07-12 18:57:38,721 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_PASSWORD instead...
2022-07-12 18:57:38,721 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_PORT
2022-07-12 18:57:38,721 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_PORT instead...
2022-07-12 18:57:38,721 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_URL
2022-07-12 18:57:38,721 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_URL instead...
2022-07-12 18:57:38,721 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_STORAGE_USERNAME
2022-07-12 18:57:38,721 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_STORAGE_USERNAME instead...
2022-07-12 18:57:38,721 | ini_setup | INFO     | configure /opt/ericsson/license-manager/etc/license-manager.ini from /opt/ericsson/license-manager/etc/license-manager.ini
2022-07-12 18:57:38,722 | ini_setup | INFO     | [general]identifier=standalone
2022-07-12 18:57:38,722 | ini_setup | INFO     | [license_api]active=True
2022-07-12 18:57:38,722 | ini_setup | INFO     | [license_server]config=/opt/ericsson/license-manager/etc/lsreserv
2022-07-12 18:57:38,722 | ini_setup | INFO     | [license_server]license_file=/opt/ericsson/license-manager/licenses/nlservrc
2022-07-12 18:57:38,722 | ini_setup | INFO     | [license_server]liveness_check=True
2022-07-12 18:57:38,722 | ini_setup | INFO     | [license_server]lock_code_confidence_threshold=5
2022-07-12 18:57:38,722 | ini_setup | INFO     | [license_server]name=127.0.0.1
2022-07-12 18:57:38,722 | ini_setup | INFO     | [license_server]port=5093
2022-07-12 18:57:38,722 | ini_setup | INFO     | [license_server]selected_interface=
2022-07-12 18:57:38,722 | ini_setup | INFO     | [license_server]startup_monitoring_timeout=30
2022-07-12 18:57:38,722 | ini_setup | INFO     | [server]host=127.0.0.1
2022-07-12 18:57:38,722 | ini_setup | INFO     | [server]port=8097
2022-07-12 18:57:38,722 | ini_setup | INFO     | [storage]host=localhost
2022-07-12 18:57:38,722 | ini_setup | INFO     | [storage]name=envivioCluster
2022-07-12 18:57:38,722 | ini_setup | INFO     | [storage]port=27017
2022-07-12 18:57:38,722 | ini_setup | INFO     | [storage]url=mongodb://127.0.0.1:27017/envivioCluster
2022-07-12 18:57:38,722 | ini_setup | INFO     | return code 0
2022-07-12 18:57:38,723 | ini_setup | INFO     | ---
2022-07-12 19:36:57,794 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_GENERAL_IDENTIFIER
2022-07-12 19:36:57,794 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_GENERAL_IDENTIFIER instead...
2022-07-12 19:36:57,794 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_API_ACTIVE
2022-07-12 19:36:57,794 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_API_ACTIVE instead...
2022-07-12 19:36:57,794 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_CONFIG
2022-07-12 19:36:57,795 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_CONFIG instead...
2022-07-12 19:36:57,795 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_LICENSE_FILE
2022-07-12 19:36:57,795 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_LICENSE_FILE instead...
2022-07-12 19:36:57,795 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_LIVENESS_CHECK
2022-07-12 19:36:57,795 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_LIVENESS_CHECK instead...
2022-07-12 19:36:57,795 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_LOCK_CODE_CONFIDENCE_THRESHOLD
2022-07-12 19:36:57,795 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_LOCK_CODE_CONFIDENCE_THRESHOLD instead...
2022-07-12 19:36:57,795 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_NAME
2022-07-12 19:36:57,795 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_NAME instead...
2022-07-12 19:36:57,795 | ini_setup | WARNING  | Invalid name for ENV VARS : LICENSE-MANAGER_LICENSE_SERVER_PORT
2022-07-12 19:36:57,795 | ini_setup | WARNING  | we will search for LICENSE_MANAGER_LICENSE_SERVER_PORT instead...
